A;Asus;B;C;Csus;D;Dsus;E;F;Fsus;G;Gsus;A;Asus;B;C;Csus;D;Dsus;E;F;Fsus;G;Gsus;A;Asus;B;C;Csus;D;Dsus;E;F;Fsus;G;Gsus;A;Asus;B;C;Csus;D;Dsus;E;F;Fsus;G;Gsus;baseNote;variation1;variation2;
0;0.0;102034.90365595315;10535977.07740599;116082.07347103242;1168301.183528047;1232468.8663336588;1273532;1291851.042150504;139932.01224699712;1449594.1935020103;148634.05551264074;149896.80236978063;151216.66929791126;154780.50507924843;159723.26193851788;1662616.586614044;177021.80666101235;1810812.6277523404;182384.89348633023;184951.18462091353;1899630.795085977;21547349.850779537;221015.71257844317;229721.913519925;2594604.1106621367;2603384.3038860373;271507.96506907826;297932.7989642846;3246319.6463321727;3396075.6836075727;389808.99952108075;4047667.882693423;439922.00461747276;610518.5790416354;620744.8455881549;6408431.094655985;70466.60284964176;714155.6961434205;7180980.497877927;763923.9216238911;77725.47304064898;78939.42133445607;7961983.17171633;86836.03947844336;889942.5371611691;905714.8759909242;998944.2267619339;[A];[MAJ];[];
0;0.0;100017.70583999017;104439.77815479353;1122014.4939666411;1159012.7490892087;1198539.6716330363;1273532;1315063.0533959623;1351313.2798062982;137956.1690588907;147721.25557177234;1807481.4956161326;193394.24910996965;2140991.9482487943;224065.36350817807;2278.998337012528;239655.38558832707;25212164.06463132;26305.377950650567;264382.4039391279;277635.8708948697;290190.3483583873;31834.009745904365;34665.10425259366;353627.2114824384;368631.004750488;388256.01215929544;393898.43098824634;397866.9247388485;398208.8758421108;42558.3915085061;427169.02481069963;452879.34793032083;456700.6855403379;479530.28948359215;5027311.665219295;50277.38059725924;506724.2724515504;5176523.836916383;60345.86017098526;67674.4057632635;691258.5707587989;78994.69702810631;816564.4905460291;881098.2220358573;91795.02350320439;918082.5302858412;[A];[MAJ];[];
0;0.0;105650.64350957041;106455.56613428723;1152573.211005497;1170836.6983681468;122330.3450104418;1273532;135704.40137364416;13895.224838472082;1546643.7108573995;158520.92490901708;170651.54154850513;173130.60085613423;204007.53264098955;2151079.3946677893;221733.36492637693;22994720.226198103;266142.0072643234;2682819.0064877574;285640.67901361384;286645.0458478481;290318.56479496206;3072835.3906720118;318737.6025310646;35517.975909618974;357597.2498326558;379137.30900561786;396813.5755931322;430561.35612525453;444326.61521401384;467007.7432341323;475063.91716024384;542827.5816727341;54283.6409028188;57833.83755718439;579271.7499012373;65871.38194540793;69928.91316440955;732842.9217222364;74076.57414610196;74754.29611121083;776525.6087100266;781184.4504106266;79289.12648177728;80944.63439126195;832400.6703282833;949913.7349050533;[A];[MAJ];[];
0;0.0;103477.5636597679;103619.16044059061;1175674.1919588083;127221.8039224069;1273532;134430.73395860125;1359988.5246497768;1385666.1938584761;143412.31360636526;149491.58742639192;15918.393030423384;160598.31383354217;17271733.30462373;19514.753998447828;19814.56947686767;20394.038310557175;222002.90795866976;223942.34915403437;236905.17355301647;243739.59822554467;252870.37431387653;31100.468219234786;314248.32707759674;32317.46985808953;332406.83529259975;33487.04956894806;403496.90084917616;421489.2368474943;4579343.6297643045;48938.01388130271;510456.0289301999;513687.17191702884;52077.062803650755;531498.5052272427;563825.8898123088;58437.14808786047;58446.00292908578;622925.2411333253;6575.8208857735035;687471.7055795512;695909.0531665288;71479.9794141643;74166.11681668357;86267.14362387119;86882.34297419958;87338.38152874836;[A];[MAJ];[];
0;0.0;101003.2418474542;102585.01965347679;103572.39188881163;113097.1468489145;1273532;132600.5647026256;133067.2608479079;13362153.741140433;139202.22354856654;141030.6484691305;142158.93608892793;151409.5592318741;173137.2229676054;208843.5387189346;253346.8394121726;263549.02329186443;306130.79637952166;315051.034601799;345648.1350799278;352873.6758139715;364463.75963776273;385820.4026005274;407695.25870858115;429080.924157911;450698.85095807904;474242.9696948697;4794281.159973774;500428.8136345699;505164.9254814458;512543.8012713415;52076.933073943954;527653.4497460703;63512.081467020704;64422.25608299576;71924.72346404083;75932.14147541969;79359.89743041329;80425.28029370295;812318.2450114827;82151.93487903134;82733.20573976554;83052.33744961426;843460.700347015;87824.09864988517;94587.01858885039;98789.57867039755;[A];[MAJ];[];
0;0.0;10020108.9675925;111224.26199695274;113941.6141320744;115764.55067552088;117326.39136952058;117535.23082595883;117943.86724126291;126553.26197877637;1273532;131057.40825738314;143178.98031268024;155518.266749033;162181.97323532135;164050.3471157586;165580.74294325188;167457.31300225295;168113.3950800996;169622.28245854675;177156.0116303531;183347.3938897929;189005.52268783867;195014.47976102156;195577.292209704;19588.926964326187;196320.1554878436;203050.43609767457;217516.00544145663;218331.71017267337;223098.34818930403;227525.11976716752;241223.69375556166;241750.5787754841;276094.94093078485;277976.38446873194;283639.3812014685;284499.30771377496;300240.7297528705;3565055.864656447;437499.4087311512;451763.75524658087;458073.8206720568;478305.76132175024;53507.38559788089;540868.2642095959;561250.8839541698;950555.5489970612;[A];[MAJ];[];
0;0.0;1046149.1281472517;1195204.6562784822;1228300.3059665263;1273532;149129.7639759532;162005.6260783956;176165.06511909646;2044585.0802073258;2088046.7614283978;210026.84746107162;210757.9363846777;229619.85652788324;231859.67473254094;245711.32953905367;255114.4445701077;2692543.0624452834;274130.7410556319;275420.7461719153;282666.17894132016;283186.12181144377;289112.1408207297;300279.4882458702;327930.6431363453;328715.9954743611;3331149.884480902;337941.46843865095;342291.77583899494;350757.4105204691;360214.22505051136;412508.60203484324;467908.57909544907;468075.27788525226;506151.4678126173;525585.5947812782;548124.7517992851;567826.2216524687;676242.1526267597;7192946.8016906995;723181.55906987;73742.44854320148;751829.1982840531;778346.4033310107;86053.53913127646;869975.5314562361;921610.8782066187;938086.258565036;[A];[MAJ];[];
0;0.0;1044495.8555966724;1074849.0645635421;11128494.656385655;1218510.9040246068;1273532;1292970.9001939644;1340428.2514055544;1372236.7246794833;1404054.375822056;1441013.0265811249;1468788.7177159605;1893457.4161212612;1904284.8447430674;2033324.6838652887;2306152.5456177345;242846.5519415513;2804262.0661729896;284010.27680316335;2852905.972083673;287356.3211068261;2891882.129302383;290255.9299096504;293773.3622662231;308004.54870818334;312465.65550727566;330336.92230547365;376436.0156147804;379439.0628540449;390567.3982755835;393181.8125980402;399015.7122963136;407996.9074622578;446445.2771758426;460169.4119161756;501503.8568835767;506583.3343411547;538250.2037435932;559764.3729608704;707044.1868884788;717298.498007416;814791.8624501027;831326.444657945;8883122.390641324;903856.9117468917;9091862.996587336;954462.8011406849;[A];[MAJ];[];
0;0.0;104117.98200470756;1082624.5317562504;111363.28705109161;1136867.6088095172;1139639.0399364107;120968.47011381836;121741.37436275517;1273532;128627.15904079695;145967.69798921174;157059.50002777926;168743.52791120837;27575.61000177687;312188.25513596705;332694.45153477084;336207.787921482;355551.09823710815;357995.5167067685;4021624.7018243754;410146.72232991713;417672.8417758129;426500.9970714187;443907.4413205181;450407.0390905985;454718.9045038734;493757.7524199053;511231.9230172757;518892.516297193;519419.46251990716;5417115.861250578;562418.5876523925;575559.3996961616;57766.993185184;6939974.506940678;698408.1371798338;709349.2996292155;71722.33593125913;735510.2046963745;742670.1747489718;74791.62790021703;75756.22198365725;837509.1526699316;890076.3200979364;953519.4390725236;98515.77065614273;99165.94185963162;[A];[MAJ];[];
0;0.0;109161.60209585645;117403.99286412029;118128.55340122149;124418.72290582163;1273532;130751.594738173;137096.40774914343;160390.26316833208;164881.7358949012;166209.93681443072;172615.320367437;177809.27173032513;189670.99248771134;189783.39780568166;202033.33371278137;211467.46450980645;223183.04325889744;226654.34832736637;243264.3780301989;2745656.8240804626;288909.84464096214;2989100.9441157603;306295.0074469289;315242.74962739146;319457.7966469899;325575.8751884436;338266.01922384556;342092.78175356303;345065.90856585983;346747.8389550829;373362.61397271254;381642.74441914354;415405.7162161026;417154.8832424628;422452.9788200494;438047.61084831;468686.1849648451;521827.70219774754;539407.2233067245;643670.9731171485;7208857.7918745885;745064.9845396143;778402.8361084049;811702.4983887698;94846.77409107791;96247.44469715038;[A];[MAJ];[];
