C;C^;D;D^;E;F;F^;G;G^;A;A^;B;baseNote;variation1;variation2;
0.5486772;0.43478623;0.3692383;0.33790797;0.50509506;0.9752787;0.60645115;0.42496017;0.50893295;0.72738606;1.0;0.7023794;[A#];[MIN];[];
0.5300673;0.38173717;0.40296406;0.4727605;0.5581762;1.0;0.7078231;0.5084092;0.45001167;0.47959635;0.657274;0.5413641;[A#];[MIN];[];
0.5943846;0.4073939;0.4275906;0.3689243;0.45626312;1.0;0.6872229;0.48118562;0.48814622;0.5347584;0.55376816;0.53756714;[A#];[MIN];[];
0.6319696;0.5510716;0.5416366;0.340552;0.47883016;1.0;0.55115736;0.39292657;0.46866056;0.6593087;0.7727161;0.58549;[A#];[MIN];[];
0.8499136;0.76838905;0.5635455;0.31272402;0.4757632;1.0;0.54230756;0.45098862;0.57212836;0.7131696;0.8231592;0.68330806;[A#];[MIN];[];
0.9874493;0.993747;0.6094823;0.31521177;0.40110552;1.0;0.48390538;0.4038244;0.56680834;0.60170805;0.8299556;0.71618557;[A#];[MIN];[];
0.9405997;1.0;0.59845424;0.28720286;0.31132552;0.8481252;0.383642;0.28896704;0.4788762;0.5577343;0.76744246;0.6460132;[A#];[MIN];[];
0.83020675;1.0;0.576889;0.25728452;0.29462498;0.744686;0.33081;0.23855273;0.50687534;0.62709755;0.79028237;0.6179023;[A#];[MIN];[];
0.8163806;1.0;0.5624103;0.2612797;0.27325732;0.68192434;0.30176067;0.21490818;0.50519925;0.6398251;0.8233476;0.64246273;[A#];[MIN];[];
0.8057745;1.0;0.55042815;0.25080374;0.25160894;0.6262697;0.27950343;0.19673313;0.46132556;0.6054871;0.7898305;0.5893516;[A#];[MIN];[];
0.7792229;1.0;0.51399386;0.23899469;0.24659878;0.56466544;0.27394474;0.20543191;0.44601572;0.5851405;0.77843136;0.5630224;[A#];[MIN];[];
0.75136834;1.0;0.4883359;0.21501918;0.23297748;0.5333707;0.24884859;0.17988606;0.42339858;0.5566844;0.74008083;0.51692396;[A#];[MIN];[];
0.7196116;1.0;0.4827745;0.20362806;0.22587535;0.5453824;0.2394983;0.15822242;0.37602314;0.5267932;0.69699574;0.4792407;[A#];[MIN];[];
0.69931066;1.0;0.47317088;0.19055253;0.23554684;0.6118278;0.26588416;0.17577325;0.36772028;0.5132632;0.69446707;0.4681758;[A#];[MIN];[];
0.6684254;1.0;0.4836959;0.19797811;0.24613641;0.6581573;0.27664;0.17103554;0.34028292;0.51202685;0.6713192;0.44167295;[A#];[MIN];[];
0.6661529;1.0;0.47785363;0.19471754;0.23797183;0.65708387;0.26277035;0.15457247;0.31832993;0.49654493;0.6508326;0.4368708;[A#];[MIN];[];
0.6628594;1.0;0.46152544;0.18935098;0.2505819;0.70380247;0.27396393;0.15952627;0.30717528;0.4683111;0.62738144;0.41847792;[A#];[MIN];[];
0.66320294;1.0;0.4664737;0.18716645;0.2618281;0.7664268;0.28702307;0.15369722;0.30355448;0.47265747;0.6232389;0.40546823;[A#];[MIN];[];
0.63923097;1.0;0.4567956;0.18158245;0.274103;0.8183437;0.2855838;0.13315535;0.2669409;0.42754605;0.5886977;0.38321108;[A#];[MIN];[];
0.63988847;1.0;0.45883495;0.17753746;0.28061795;0.84185266;0.2994364;0.13503465;0.26200202;0.40411744;0.5503154;0.35681686;[A#];[MIN];[];
0.64614093;1.0;0.4667136;0.16986923;0.28173235;0.8405723;0.2936028;0.13538343;0.25113618;0.39232084;0.5216336;0.3296023;[A#];[MIN];[];
