C;C^;D;D^;E;F;F^;G;G^;A;A^;B;
0.7010874;0.52657145;0.5500176;0.43574625;0.5432669;0.36445984;0.46838146;0.6441149;0.79609054;0.5344414;0.5592105;1.0;
0.67895716;0.44236976;0.5461728;0.39446938;0.6206987;0.41043994;0.408877;0.5635371;0.58349586;0.4059493;0.4776556;1.0;
0.6474752;0.36519438;0.4996201;0.42099008;0.7584663;0.41814935;0.3314621;0.4550073;0.44029936;0.30680147;0.42061698;1.0;
0.6009326;0.3380759;0.43734777;0.37912223;0.81897634;0.41630462;0.29121694;0.41052344;0.40856168;0.270606;0.39885104;1.0;
0.65301394;0.36007383;0.4504099;0.3636721;0.79743874;0.40697768;0.28762835;0.46262893;0.41929477;0.22247624;0.3550597;1.0;
0.651388;0.3515439;0.43866506;0.37453863;0.8603897;0.38145828;0.27831966;0.53452617;0.43330646;0.21216138;0.3412324;1.0;
0.608377;0.31816444;0.3717143;0.32908735;0.82831395;0.35171282;0.25507754;0.49970558;0.36780438;0.18465047;0.34057182;1.0;
0.6153243;0.31506914;0.37195623;0.3090486;0.7914613;0.32506275;0.22161666;0.48352152;0.34306583;0.18556993;0.33841205;1.0;
0.65332675;0.3222829;0.3870478;0.32351226;0.82956874;0.34361762;0.23680604;0.5505645;0.35822195;0.1921572;0.3416424;1.0;
0.7197535;0.36617225;0.41280946;0.35081023;0.91883487;0.37272534;0.24151987;0.5997451;0.38353023;0.21028383;0.3701669;1.0;
0.67915094;0.33792707;0.3622893;0.3201377;0.84099114;0.31616646;0.18952474;0.4941184;0.3298911;0.18876407;0.3591849;1.0;
0.6844042;0.34870878;0.3827964;0.3148807;0.8402259;0.3293718;0.19220363;0.4932599;0.34712186;0.17988737;0.35032824;1.0;
0.70991325;0.35642174;0.39654902;0.33556792;0.87305874;0.3477407;0.20713167;0.5181141;0.38424292;0.18850061;0.34802794;1.0;
0.75801337;0.36459637;0.3874397;0.31159365;0.83546466;0.3501435;0.20053126;0.49570817;0.39418855;0.18597957;0.35484353;1.0;
0.7514368;0.3867165;0.416699;0.31382385;0.8037407;0.33709154;0.18909349;0.51748323;0.39679134;0.18412691;0.33748174;1.0;
0.7527377;0.38197926;0.41421294;0.30266064;0.77622443;0.32676482;0.1896435;0.5206412;0.36546692;0.17597026;0.34326452;1.0;
0.72176456;0.34031767;0.37123537;0.27676892;0.68467826;0.28044006;0.18156075;0.5034754;0.3338036;0.15674427;0.31913608;1.0;
0.7276627;0.34675562;0.37805822;0.2777668;0.703848;0.2801695;0.18581913;0.5280099;0.32178697;0.1507057;0.30495927;1.0;
0.7660834;0.3850844;0.4121623;0.29805526;0.7508423;0.29475474;0.18373315;0.57129335;0.32508853;0.1462822;0.3051732;1.0;
0.7640333;0.38341105;0.38977686;0.26493645;0.6843011;0.27439407;0.17963395;0.5498311;0.2998266;0.13499323;0.30411476;1.0;
0.7044943;0.3553771;0.37303156;0.2363142;0.5668087;0.22889373;0.16942357;0.4998068;0.2790244;0.12366884;0.30671024;1.0;
0.6774092;0.33707133;0.36512434;0.22093421;0.5266914;0.21668488;0.15922914;0.48413077;0.2725949;0.13055333;0.2994402;1.0;
0.7360616;0.37424794;0.38275763;0.2255382;0.5575116;0.23484527;0.17088775;0.4941722;0.27646032;0.13702771;0.31412688;1.0;
0.7323282;0.3717024;0.36883602;0.21220613;0.5386429;0.22301152;0.16240397;0.46846536;0.2687418;0.12339273;0.2993296;1.0;
0.6512944;0.33380273;0.34635887;0.1989669;0.48080277;0.19018173;0.14133778;0.39666185;0.2412535;0.115741484;0.29644448;1.0;
0.65554976;0.33737957;0.34107113;0.20609887;0.46099615;0.19540243;0.13401127;0.35998994;0.24153265;0.12512268;0.2897744;1.0;
0.6647422;0.4474022;0.4521818;0.30756986;0.48420802;0.2845999;0.25438643;0.4497494;0.36947095;0.31807706;0.4781281;1.0;
0.80681384;0.5965593;0.55962217;0.49193972;0.66941905;0.4526876;0.52339995;0.6814427;0.6610131;0.5697619;0.5949291;1.0;
0.8427636;0.5507767;0.49547067;0.49132162;0.6367092;0.40857437;0.5295733;0.78028274;0.6388171;0.42834413;0.5055693;1.0;
0.81280786;0.55091715;0.50779027;0.48938924;0.74400884;0.4527168;0.5897486;0.9475287;0.61993766;0.4169965;0.58717203;1.0;
0.8375774;0.44946072;0.47637346;0.46462643;0.90691024;0.46856242;0.5565713;0.9605824;0.57789785;0.34700304;0.54710615;1.0;
